session,device,t_s,stl,dxf,svg,stl_md5
c206a43b,Spiral,19.353,fdm_outward_fixed300_output\spiral_outward15.stl,fdm_outward_fixed300_output\spiral_outward15.dxf,fdm_outward_fixed300_output\spiral_outward15_model.svg,b0fa3f47491121b7ad919febc97671fc
c206a43b,T-junction,16.221,fdm_outward_fixed300_output\tjunction_outward15.stl,fdm_outward_fixed300_output\tjunction_outward15.dxf,fdm_outward_fixed300_output\tjunction_outward15_model.svg,bfb02e6d4e812f43103ad8446de2911a
c206a43b,Y-junction,21.774,fdm_outward_fixed300_output\yjunction_outward15.stl,fdm_outward_fixed300_output\yjunction_outward15.dxf,fdm_outward_fixed300_output\yjunction_outward15_model.svg,32c7d44301868947c24a8f109e877a02
780a6fc4,Spiral,24.484,fdm_outward_fixed300_output\spiral_outward15.stl,fdm_outward_fixed300_output\spiral_outward15.dxf,fdm_outward_fixed300_output\spiral_outward15_model.svg,b0fa3f47491121b7ad919febc97671fc
780a6fc4,T-junction,18.386,fdm_outward_fixed300_output\tjunction_outward15.stl,fdm_outward_fixed300_output\tjunction_outward15.dxf,fdm_outward_fixed300_output\tjunction_outward15_model.svg,bfb02e6d4e812f43103ad8446de2911a
780a6fc4,Y-junction,16.289,fdm_outward_fixed300_output\yjunction_outward15.stl,fdm_outward_fixed300_output\yjunction_outward15.dxf,fdm_outward_fixed300_output\yjunction_outward15_model.svg,32c7d44301868947c24a8f109e877a02
3f85b15f,Spiral,17.884,fdm_outward_fixed300_output\spiral_outward15.stl,fdm_outward_fixed300_output\spiral_outward15.dxf,fdm_outward_fixed300_output\spiral_outward15_model.svg,b0fa3f47491121b7ad919febc97671fc
3f85b15f,T-junction,16.538,fdm_outward_fixed300_output\tjunction_outward15.stl,fdm_outward_fixed300_output\tjunction_outward15.dxf,fdm_outward_fixed300_output\tjunction_outward15_model.svg,bfb02e6d4e812f43103ad8446de2911a
3f85b15f,Y-junction,19.288,fdm_outward_fixed300_output\yjunction_outward15.stl,fdm_outward_fixed300_output\yjunction_outward15.dxf,fdm_outward_fixed300_output\yjunction_outward15_model.svg,32c7d44301868947c24a8f109e877a02
